Fund Symbol|Fund Name|Fund Family Name|Type|Category|Pricing Agent
AAAAX|Deutsche Alternative Asset Allocation Fund Class A|Deutsche Asset Management|MS|O|State Street Bank & Trust Company
AAADX|Alpine Rising Dividend Fund - Class A|Alpine Management & Research, LLC|MS|O|State Street Bank & Trust Company
AAAGX|Thrivent Large Cap Growth Fund Class A|Thrivent Funds|MF|O|Thrivent Investment Management Inc.
AAAIX|American Century Strategic Allocation: Aggressive Fund - I Class|American Century Investments|MF|O|State Street Bank & Trust Company
AAANX|Horizon Active Asset Allocation Fund - Investor Class|Horizon Funds|MS|O|U.S. Bancorp Fund Services, LLC
AAAPX|Deutsche Alternative Asset Allocation Fund  Class C|Deutsche Asset Management|MS|O|State Street Bank & Trust Company
AAAQX|Deutsche Alternative Asset Allocation Fund Class R|Deutsche Asset Management|MS|O|State Street Bank & Trust Company
AAARX|American Century Strategic Allocation Aggressive Cl R|American Century Investments|MF|O|State Street Bank & Trust Company
AAASX|Deutsche Alternative Asset Allocation Fund Class S|Deutsche Asset Management|MS|O|State Street Bank & Trust Company
AAATX|American Fds 2010 Target Date Retirement Fd Cl A|American Funds, Inc.|MF|O|Capital Research and Management Company
AAAUX|American Century Strategic Allocation Aggressive Fund R6 Cl|American Century Investments|MF|O|State Street Bank & Trust Company
AAAVX|Deutsche Alternative Asset Allocation Fund - Class R6|Deutsche Asset Management|MS|O|State Street Bank & Trust Company
AAAWX|Deutsche Real Assets Fund - Class T|Deutsche Asset Management|MS|O|State Street Bank & Trust Company
AAAZX|Deutsche Alternative Asset Allocation Fund Insti Class|Deutsche Asset Management|MS|O|State Street Bank & Trust Company
AABAX|Cavanal Hill Active Core Fd Cl A Shs|Cavanal Hill Funds|MS|O|Citi Fund Services
AABCX|Putnam Dynamic Asset Allocation Balanced Class C|Putnam Investments|MF|O|State Street Bank & Trust Company
AABFX|Thrivent Balanced Income Plus Fund Class A|Thrivent Funds|MF|O|Thrivent Investment Management Inc.
AABOX|Cavanal Hill Bond Fd Cl A Shs|Cavanal Hill Funds|MS|O|Citi Fund Services
AABPX|American Beacon Balanced Fund Investor Class|American Beacon Funds|MS|O|State Street Bank & Trust Company
AABSX|AllianzGI Best Styles Emerging Markets Equity Fund Class A|Allianz Advisors Funds (NY)|MS|O|State Street Bank & Trust Company
AABTX|American Fds 2015 Target Date Retirement Fd Cl A|American Funds, Inc.|MF|O|Capital Research and Management Company
AABUX|AllianzGI Best Styles U.S. Equity Fund Class A|Allianz Advisors Funds (NY)|MS|O|State Street Bank & Trust Company
AACBX|Cavanal Hill Active Core Fund, Class C Shares|Cavanal Hill Funds|MS|O|Citi Fund Services
AACCX|American Century Strategic Allocation: Conservative Class C|American Century Investments|MF|O|State Street Bank & Trust Company
AACDX|American Century Strategic Allocation Conservative Fund R6 Cl|American Century Investments|MF|O|State Street Bank & Trust Company
AACEX|Cavanal Hill Multi Cap Equity Income Fund Class C Shares|Cavanal Hill Funds|MS|O|Citi Fund Services
