Date,Open,High,Low,Close,Volume,Adj Close
2017-04-21,37.689999,37.689999,36.119999,36.950001,39800,36.950001
2017-04-20,37.240002,37.689999,37.119999,37.610001,17500,37.610001
2017-04-19,37.900002,38.099998,36.889999,37.060001,36200,37.060001
2017-04-18,37.650002,37.990002,37.09,37.91,51600,37.91
2017-04-17,37.630001,37.970001,37.07,37.450001,24300,37.450001
2017-04-13,37.75,37.91,37.18,37.419998,32500,37.419998
2017-04-12,38.169998,38.540001,37.400002,37.75,33800,37.75
2017-04-11,38.84,38.970001,37.689999,38.09,41400,38.09
2017-04-10,39.50,39.50,38.50,38.799999,43800,38.799999
2017-04-07,39.400002,39.650002,39.209999,39.330002,100700,39.330002
2017-04-06,39.77,39.77,38.91,39.240002,55300,39.240002
2017-04-05,39.700001,39.91,38.310001,39.470001,129100,39.470001
2017-04-04,39.400002,39.91,39.400002,39.77,46400,39.77
2017-04-03,39.900002,40.029999,39.290001,39.689999,113000,39.689999
2017-03-31,40.00,40.049999,39.57,39.860001,116700,39.860001
2017-03-30,40.00,40.919998,39.150002,40.00,474500,40.00
2017-03-29,39.209999,40.00,39.209999,40.00,240900,40.00
2017-03-28,39.200001,39.599998,38.799999,39.209999,282500,39.209999
2017-03-27,38.68,39.48,38.68,39.200001,146900,39.200001
2017-03-24,39.50,39.919998,38.860001,38.98,125600,38.98
2017-03-23,35.50,39.959999,35.50,39.580002,213100,39.580002
2017-03-22,36.990002,38.009998,36.889999,37.299999,50200,37.299999
2017-03-21,37.040001,37.599998,36.950001,36.990002,84000,36.990002
2017-03-20,37.240002,37.490002,36.849998,37.25,66000,37.25
2017-03-17,36.669998,37.209999,36.619999,37.110001,65000,37.110001
2017-03-16,36.799999,36.939999,36.380001,36.48,96300,36.48
2017-03-15,36.720001,37.349998,35.529999,36.75,71300,36.75
2017-03-14,37.380001,37.529999,36.09,36.619999,36600,36.619999
2017-03-13,37.66,37.799999,36.869999,37.419998,111700,37.419998
2017-03-10,38.349998,38.349998,37.560001,37.950001,70800,37.950001
2017-03-09,38.00,38.700001,37.799999,38.09,103500,38.09
2017-03-08,38.009998,38.50,37.959999,38.310001,62300,38.310001
2017-03-07,38.18,38.299999,37.689999,38.110001,63500,38.110001
2017-03-06,38.139999,38.23,37.459999,38.139999,98100,38.139999
2017-03-03,37.639999,38.66,37.459999,38.43,59700,38.43
2017-03-02,37.849998,38.27,36.50,37.52,63600,37.52
2017-03-01,38.00,38.330002,37.669998,37.849998,121100,37.849998
2017-02-28,37.25,38.869999,37.049999,37.939999,155200,37.939999
2017-02-27,37.00,37.450001,36.759998,37.259998,240300,37.259998
2017-02-24,35.98,36.990002,35.650002,36.959999,171200,36.959999
2017-02-23,36.919998,37.130001,36.380001,36.98,219100,36.98
2017-02-22,36.990002,37.02,36.57,36.919998,92500,36.919998
2017-02-21,35.830002,37.139999,35.830002,36.849998,290000,36.849998
2017-02-17,35.91,36.23,35.59,36.139999,147400,36.139999
2017-02-16,35.799999,36.16,35.619999,35.900002,208000,35.900002
2017-02-15,35.599998,36.119999,35.25,35.709999,81700,35.709999
2017-02-14,36.41,36.630001,35.50,35.599998,141200,35.599998
2017-02-13,37.099998,37.34,36.279999,36.689999,192700,36.689999
2017-02-10,35.450001,37.599998,35.16,37.16,377700,37.16
2017-02-09,35.00,35.50,34.939999,35.25,321600,35.25
2017-02-08,34.630001,35.00,34.599998,34.990002,87500,34.990002
2017-02-07,34.299999,35.16,34.299999,34.889999,205800,34.889999
2017-02-06,34.400002,35.119999,34.200001,34.900002,215200,34.900002
2017-02-03,33.799999,34.560001,33.799999,34.25,177400,34.25
2017-02-02,33.00,33.959999,33.00,33.759998,67900,33.759998
2017-02-01,32.619999,33.330002,32.549999,32.939999,85400,32.939999
2017-01-31,31.50,32.549999,31.030001,32.369999,74900,32.369999
2017-01-30,31.690001,31.690001,30.950001,31.49,70800,31.49
2017-01-27,30.92,31.700001,30.67,31.50,54300,31.50
2017-01-26,30.51,31.16,30.370001,30.690001,68400,30.690001
2017-01-25,29.51,30.780001,29.48,30.66,132600,30.66
2017-01-24,28.799999,29.27,28.709999,29.200001,30400,29.200001
2017-01-23,28.65,28.950001,28.09,28.91,66100,28.91
2017-01-20,28.280001,29.07,28.00,28.610001,102500,28.610001
2017-01-19,28.389999,28.66,27.90,28.469999,36500,28.469999
2017-01-18,29.08,29.08,28.030001,28.41,67600,28.41
2017-01-17,29.290001,29.450001,28.32,28.370001,34600,28.370001
2017-01-13,29.26,29.57,29.01,29.129999,47900,29.129999
2017-01-12,29.190001,29.50,28.280001,29.01,150600,29.01
2017-01-11,28.40,29.030001,28.17,28.84,51900,28.84
2017-01-10,28.01,28.50,27.889999,28.35,24900,28.35
2017-01-09,27.139999,28.129999,27.139999,28.030001,49900,28.030001
2017-01-06,27.540001,27.620001,27.01,27.51,113300,27.51
2017-01-05,27.040001,27.68,26.799999,27.370001,65000,27.370001
2017-01-04,27.34,27.91,26.93,27.25,73200,27.25
2017-01-03,27.059999,27.809999,26.60,27.16,64800,27.16
2016-12-30,26.73,26.92,26.60,26.76,42700,26.76
2016-12-29,26.25,26.969999,26.17,26.52,54500,26.52
2016-12-28,26.799999,26.98,26.040001,26.299999,97300,26.299999
2016-12-27,23.77,27.68,23.77,26.290001,372500,26.290001
2016-12-23,23.790001,24.389999,23.51,24.07,148300,24.07
2016-12-22,24.120001,24.92,23.50,23.709999,376100,23.709999
