Date,Open,High,Low,Close,Volume,Adj Close
2017-04-21,46.060001,46.52,46.060001,46.400002,7300,46.400002
2017-04-20,46.150002,46.32,46.150002,46.310001,6400,46.310001
2017-04-19,46.330002,47.209999,45.790001,45.82,16100,45.82
2017-04-18,46.389999,46.389999,46.00,46.130001,5200,46.130001
2017-04-17,46.080002,46.450001,46.02,46.450001,7200,46.450001
2017-04-13,46.060001,46.060001,45.759998,45.759998,12500,45.759998
2017-04-12,46.240002,46.240002,45.779999,46.080002,26700,46.080002
2017-04-11,46.77,46.77,45.98,46.299999,29400,46.299999
2017-04-10,46.50,46.619999,46.400002,46.580002,9300,46.580002
2017-04-07,46.779999,46.830002,46.32,46.599998,9200,46.599998
2017-04-06,46.669998,46.869999,46.419998,46.689999,5500,46.689999
2017-04-05,47.200001,47.200001,46.619999,46.619999,105400,46.619999
2017-04-04,46.669998,47.25,46.650002,47.049999,14800,47.049999
2017-04-03,46.75,46.75,46.459999,46.700001,5700,46.700001
2017-03-31,46.470001,46.779999,46.330002,46.709999,7400,46.709999
2017-03-30,47.040001,47.040001,46.50,46.73,28300,46.73
2017-03-29,46.939999,46.939999,46.389999,46.869999,19400,46.869999
2017-03-28,46.330002,46.509998,46.299999,46.48,4300,46.48
2017-03-27,45.959999,46.32,45.740002,46.32,5800,46.32
2017-03-24,46.330002,46.700001,46.279999,46.599998,12400,46.599998
2017-03-23,46.119999,46.209999,46.009998,46.119999,14200,46.119999
2017-03-22,46.09,46.09,45.669998,46.029999,60700,46.029999
2017-03-21,46.48,46.48,45.849998,45.900002,5700,45.900002
2017-03-20,46.799999,46.799999,46.09,46.470001,15700,46.470001
2017-03-17,46.330002,46.490002,45.970001,45.990002,50000,45.990002
2017-03-16,46.240002,46.400002,46.049999,46.169998,39100,46.169998
2017-03-15,44.810001,45.970001,44.810001,45.810001,10800,45.810001
2017-03-14,45.25,45.25,44.889999,44.889999,4800,44.889999
2017-03-13,45.00,45.349998,44.950001,45.310001,9100,45.310001
2017-03-10,44.919998,44.919998,44.68,44.799999,8200,44.799999
2017-03-09,44.98,45.50,43.970001,44.240002,7700,44.240002
2017-03-08,45.299999,45.299999,44.57,44.73,13300,44.73
2017-03-07,45.619999,45.619999,45.189999,45.32,2500,45.32
2017-03-06,46.00,46.00,45.43,45.540001,20800,45.540001
2017-03-03,45.599998,45.950001,45.509998,45.91,4600,45.91
2017-03-02,46.139999,46.139999,45.18,45.330002,15300,45.330002
2017-03-01,45.799999,46.049999,45.580002,46.02,5800,46.02
2017-02-28,45.240002,45.490002,44.91,44.91,16100,44.91
2017-02-27,45.34,45.34,44.799999,45.16,18300,45.16
2017-02-24,45.299999,46.169998,45.00,45.049999,14500,45.049999
2017-02-23,46.439999,46.669998,45.57,45.82,12500,45.82
2017-02-22,45.950001,46.259998,45.950001,46.130001,18400,46.130001
2017-02-21,45.779999,46.189999,45.66,46.049999,8100,46.049999
2017-02-17,45.700001,45.700001,45.240002,45.43,13800,45.43
2017-02-16,46.00,46.00,45.689999,45.779999,8000,45.779999
2017-02-15,45.580002,45.799999,45.580002,45.779999,7800,45.779999
2017-02-14,45.900002,45.900002,44.950001,45.450001,22000,45.450001
2017-02-13,45.799999,45.799999,45.380001,45.619999,30300,45.619999
2017-02-10,44.919998,45.27,44.77,45.07,9200,45.07
2017-02-09,44.32,44.57,44.290001,44.330002,3400,44.330002
2017-02-08,43.939999,44.369999,43.939999,44.369999,4500,44.369999
2017-02-07,45.00,45.00,44.189999,44.220001,7400,44.220001
2017-02-06,45.380001,45.380001,44.150002,44.619999,7400,44.619999
2017-02-03,45.880001,45.880001,44.82,44.959999,6200,44.959999
2017-02-02,44.689999,45.080002,44.580002,45.00,13300,45.00
2017-02-01,44.639999,44.810001,44.130001,44.459999,13300,44.459999
2017-01-31,44.18,44.360001,43.889999,44.220001,3200,44.220001
2017-01-30,44.50,44.540001,43.73,43.939999,5000,43.939999
2017-01-27,44.490002,44.50,44.220001,44.330002,9700,44.330002
2017-01-26,45.490002,45.490002,44.259998,44.470001,15400,44.470001
2017-01-25,44.59,44.849998,44.470001,44.849998,33400,44.849998
2017-01-24,44.43,44.43,44.130001,44.130001,6500,44.130001
2017-01-23,43.939999,44.509998,43.849998,44.470001,16500,44.470001
2017-01-20,43.950001,43.950001,43.689999,43.709999,3300,43.709999
2017-01-19,43.459999,43.509998,43.349998,43.43,7600,43.43
2017-01-18,43.66,43.66,43.27,43.450001,3900,43.450001
2017-01-17,43.439999,43.77,43.419998,43.77,3500,43.77
2017-01-13,43.049999,43.450001,43.049999,43.419998,2300,43.419998
2017-01-12,43.330002,43.389999,43.27,43.369999,5500,43.369999
2017-01-11,43.200001,43.400002,42.669998,43.400002,6700,43.400002
2017-01-10,43.040001,43.040001,42.799999,42.82,2800,42.82
2017-01-09,42.580002,42.599998,42.419998,42.419998,2100,42.419998
2017-01-06,42.139999,42.400002,42.139999,42.27,2100,42.27
2017-01-05,42.490002,42.950001,42.240002,42.41,6200,42.41
2017-01-04,41.84,41.959999,41.490002,41.959999,6800,41.959999
2017-01-03,40.98,41.68,40.98,41.25,4500,41.25
2016-12-30,40.279999,40.389999,40.040001,40.18,3800,40.18
2016-12-29,40.02,40.220001,40.02,40.220001,1800,40.220001
2016-12-28,41.450001,41.450001,40.150002,40.650002,2300,40.650002
2016-12-27,39.689999,39.889999,39.540001,39.889999,3200,39.889999
2016-12-23,39.599998,39.799999,39.50,39.759998,1900,39.759998
2016-12-22,40.59,40.59,39.240002,39.540001,5500,39.510002
2016-12-21,39.650002,39.66,39.349998,39.650002,6900,39.619919
2016-12-20,39.119999,39.470001,39.119999,39.369999,1100,39.340129
2016-12-19,39.57,39.57,39.110001,39.110001,1600,39.080328
