Date,Open,High,Low,Close,Volume,Adj Close
2017-04-05,29.58,30.049999,29.49,29.559999,590600,29.559999
2017-04-04,29.25,29.559999,29.049999,29.48,677300,29.48
2017-04-03,29.75,29.75,29.15,29.25,475000,29.25
2017-03-31,29.82,30.00,29.67,29.74,498800,29.74
2017-03-30,29.190001,29.90,29.190001,29.85,464800,29.85
2017-03-29,28.99,29.32,28.969999,29.299999,414100,29.299999
2017-03-28,28.719999,29.15,28.559999,29.040001,460900,29.040001
2017-03-27,28.120001,28.879999,28.120001,28.82,406100,28.82
2017-03-24,28.620001,28.860001,28.620001,28.709999,344300,28.709999
2017-03-23,28.58,28.969999,28.52,28.690001,590100,28.690001
2017-03-22,28.23,28.65,28.120001,28.629999,954600,28.629999
2017-03-21,29.440001,29.440001,28.280001,28.299999,846900,28.299999
2017-03-20,30.00,30.049999,29.26,29.34,573500,29.34
2017-03-17,30.049999,30.440001,29.790001,30.07,970100,30.07
2017-03-16,29.549999,30.389999,29.389999,30.049999,971500,30.049999
2017-03-15,28.91,29.719999,28.809999,29.48,987200,29.48
2017-03-14,28.40,28.950001,28.15,28.84,693500,28.84
2017-03-13,27.98,28.41,27.83,28.40,792000,28.40
2017-03-10,27.440001,28.27,27.440001,28.01,669600,27.982001
2017-03-09,27.530001,27.879999,27.42,27.440001,483300,27.412571
2017-03-08,27.27,27.860001,27.15,27.67,672100,27.64234
2017-03-07,27.40,27.59,27.09,27.190001,493900,27.162821
2017-03-06,27.83,27.83,27.32,27.389999,695500,27.36262
2017-03-03,28.059999,28.469999,27.76,27.959999,499900,27.932049
2017-03-02,27.719999,28.389999,27.719999,28.209999,481300,28.1818
2017-03-01,27.50,28.34,27.459999,27.74,1057800,27.71227
2017-02-28,27.16,27.34,26.709999,27.280001,884900,27.252731
2017-02-27,27.10,27.42,26.99,27.34,538200,27.31267
2017-02-24,26.91,27.59,26.559999,27.18,541300,27.15283
2017-02-23,27.18,27.219999,26.77,26.92,663400,26.89309
2017-02-22,26.950001,27.23,26.610001,27.059999,725700,27.032949
2017-02-21,27.18,27.360001,26.440001,26.99,1603100,26.96302
2017-02-17,30.549999,31.49,26.120001,26.93,4504400,26.90308
2017-02-16,29.41,29.77,29.25,29.52,892800,29.490491
2017-02-15,29.26,29.719999,29.120001,29.459999,1023600,29.43055
2017-02-14,29.209999,29.799999,29.209999,29.41,744600,29.380601
2017-02-13,30.129999,30.48,29.459999,29.51,582900,29.480501
2017-02-10,30.209999,30.34,29.68,30.049999,487500,30.01996
2017-02-09,29.77,30.41,29.76,29.969999,647000,29.94004
2017-02-08,29.719999,29.879999,29.299999,29.700001,819600,29.670312
2017-02-07,29.940001,30.299999,29.41,29.700001,412800,29.670312
2017-02-06,29.91,30.110001,29.49,29.790001,900300,29.760222
2017-02-03,30.809999,30.950001,29.799999,29.93,948300,29.900081
2017-02-02,30.799999,31.219999,30.50,30.66,713100,30.629351
2017-02-01,31.059999,31.540001,30.690001,30.799999,485900,30.769211
2017-01-31,30.379999,30.98,30.26,30.940001,613100,30.909072
2017-01-30,30.639999,30.879999,30.370001,30.67,360700,30.639341
2017-01-27,31.00,31.00,30.309999,30.540001,610200,30.509472
2017-01-26,31.35,31.57,30.93,30.950001,456200,30.919062
2017-01-25,31.84,32.220001,31.42,31.540001,451900,31.508473
2017-01-24,30.75,31.559999,30.75,31.50,601400,31.468512
2017-01-23,30.15,30.719999,29.85,30.65,476400,30.619361
2017-01-20,29.67,30.620001,29.67,30.309999,1221800,30.279701
2017-01-19,30.01,30.68,28.90,29.190001,2428500,29.160821
2017-01-18,32.029999,32.509998,31.66,32.310001,472200,32.277703
2017-01-17,32.00,32.630001,31.90,32.02,531100,31.987992
2017-01-13,32.610001,32.610001,31.889999,32.049999,546900,32.017961
2017-01-12,32.73,32.73,32.02,32.41,671700,32.377602
2017-01-11,32.450001,32.639999,31.629999,32.50,1267300,32.467512
2017-01-10,31.559999,32.880001,31.49,32.439999,984500,32.407571
2017-01-09,30.799999,31.48,30.57,31.25,655300,31.218762
2017-01-06,31.48,31.49,30.84,30.860001,689500,30.829152
2017-01-05,32.110001,32.110001,30.799999,31.309999,503000,31.278701
2017-01-04,32.189999,32.73,32.099998,32.57,581000,32.537442
2017-01-03,32.400002,32.490002,31.41,31.90,760500,31.868111
2016-12-30,32.07,32.290001,31.52,31.99,435000,31.958022
2016-12-29,32.049999,32.509998,31.76,32.049999,335700,32.017961
2016-12-28,32.259998,32.419998,31.620001,32.00,458500,31.968012
2016-12-27,32.220001,32.700001,32.029999,32.279999,356300,32.247731
