Date,Open,High,Low,Close,Volume,Adj Close
2017-04-24,31.90,32.080002,31.77,31.98,1148000,31.98
2017-04-21,31.809999,31.870001,31.66,31.84,1506800,31.84
2017-04-20,31.82,32.02,31.77,31.84,922500,31.84
2017-04-19,32.049999,32.110001,31.76,31.780001,1779800,31.780001
2017-04-18,31.76,32.119999,31.76,32.009998,704400,32.009998
2017-04-17,31.92,32.02,31.790001,31.92,636900,31.92
2017-04-13,32.119999,32.259998,31.879999,31.93,697200,31.93
2017-04-12,32.299999,32.380001,32.119999,32.200001,676100,32.200001
2017-04-11,32.52,32.630001,32.279999,32.32,1178000,32.32
2017-04-10,32.669998,32.689999,32.52,32.529999,574700,32.529999
2017-04-07,32.689999,32.709999,32.52,32.549999,604000,32.549999
2017-04-06,32.23,32.68,32.16,32.669998,736500,32.669998
2017-04-05,32.66,32.84,32.169998,32.169998,1745600,32.169998
2017-04-04,32.259998,32.459999,32.110001,32.43,751700,32.43
2017-04-03,32.279999,32.459999,31.91,32.27,1130200,32.27
2017-03-31,31.870001,32.349998,31.76,32.299999,933500,32.299999
2017-03-30,32.049999,32.09,31.74,31.889999,841300,31.889999
2017-03-29,31.469999,32.119999,31.469999,31.969999,1050600,31.969999
2017-03-28,31.450001,31.68,31.23,31.50,949700,31.50
2017-03-27,31.299999,31.49,31.24,31.43,1501100,31.43
2017-03-24,31.549999,31.93,31.549999,31.610001,1102800,31.610001
2017-03-23,31.26,31.790001,31.200001,31.48,639600,31.48
2017-03-22,31.40,31.450001,31.190001,31.370001,1380000,31.370001
2017-03-21,31.790001,31.870001,31.23,31.48,2516600,31.48
2017-03-20,31.639999,31.780001,31.48,31.74,2319400,31.74
2017-03-17,32.099998,32.099998,31.719999,31.77,2224700,31.77
2017-03-16,32.299999,32.299999,31.90,32.009998,866500,32.009998
2017-03-15,32.049999,32.189999,31.709999,32.110001,2388200,32.110001
2017-03-14,31.85,31.93,31.48,31.67,1623400,31.67
2017-03-13,31.85,32.200001,31.85,32.040001,2661800,32.040001
2017-03-10,32.189999,32.259998,31.85,32.009998,2707600,32.009998
2017-03-09,32.080002,32.169998,31.50,32.02,2655100,32.02
2017-03-08,32.77,33.09,32.25,32.290001,1581500,32.290001
2017-03-07,33.130001,33.139999,32.77,32.919998,716500,32.919998
2017-03-06,32.990002,33.049999,32.66,33.040001,1075200,33.040001
2017-03-03,33.009998,33.16,32.990002,33.00,1079600,33.00
2017-03-02,32.860001,33.169998,32.860001,33.029999,1841400,33.029999
2017-03-01,33.00,33.189999,32.869999,33.119999,3102500,33.119999
2017-02-28,32.48,32.889999,32.450001,32.77,1362000,32.77
2017-02-27,32.849998,32.889999,32.50,32.509998,2618100,32.509998
2017-02-24,33.740002,33.740002,32.93,33.110001,1686700,32.649001
2017-02-23,33.900002,33.900002,33.220001,33.439999,3951600,32.974404
2017-02-22,33.98,33.98,33.529999,33.549999,1428400,33.082873
2017-02-21,33.959999,34.209999,33.939999,34.02,3073500,33.54633
2017-02-17,33.919998,33.919998,33.709999,33.82,1837200,33.349114
2017-02-16,34.32,34.41,33.93,33.959999,1661500,33.487164
2017-02-15,34.049999,34.34,34.049999,34.18,2029500,33.704102
2017-02-14,34.029999,34.220001,33.799999,34.220001,1892300,33.743546
2017-02-13,33.959999,34.169998,33.709999,33.950001,784900,33.477305
2017-02-10,34.16,34.200001,33.830002,33.959999,2061100,33.487164
2017-02-09,33.970001,34.040001,33.720001,33.889999,1837700,33.418139
2017-02-08,33.599998,33.810001,33.290001,33.720001,1525800,33.250508
2017-02-07,33.98,34.099998,33.529999,33.759998,2187500,33.289948
2017-02-06,34.029999,34.099998,33.82,34.02,1296700,33.54633
2017-02-03,33.900002,34.130001,33.779999,34.029999,2014600,33.556189
2017-02-02,33.549999,33.759998,33.34,33.73,1449300,33.260367
2017-02-01,33.560001,33.939999,33.299999,33.580002,2312000,33.112458
2017-01-31,33.049999,33.110001,32.709999,33.110001,1814600,32.649001
2017-01-30,33.73,33.73,32.790001,32.939999,4679100,32.481366
2017-01-27,33.93,33.93,33.389999,33.759998,4860400,33.289948
2017-01-26,33.599998,33.93,33.490002,33.880001,4091600,33.40828
2017-01-25,33.099998,33.50,32.830002,33.41,1940500,32.944823
2017-01-24,31.870001,32.810001,31.870001,32.73,3609700,32.27429
2017-01-23,31.940001,32.029999,31.76,31.959999,1866100,31.515011
2017-01-20,32.060001,32.169998,31.92,31.98,1623800,31.534733
