Date,Open,High,Low,Close,Volume,Adj Close
2017-04-06,20.860001,21.040001,20.66,20.77,501300,20.77
2017-04-05,21.370001,21.50,20.870001,20.879999,517000,20.879999
2017-04-04,20.92,21.209999,20.780001,21.190001,327000,21.190001
2017-04-03,20.389999,20.639999,20.110001,20.50,292000,20.50
2017-03-31,20.00,20.49,19.639999,20.35,338600,20.35
2017-03-30,20.440001,20.60,20.00,20.08,567000,20.08
2017-03-29,20.26,20.700001,20.26,20.65,309400,20.65
2017-03-28,20.049999,20.32,19.59,20.200001,754200,20.200001
2017-03-27,20.040001,20.84,19.940001,20.65,420200,20.65
2017-03-24,20.66,20.790001,20.18,20.25,359600,20.25
2017-03-23,19.67,20.25,19.59,20.16,460100,20.16
2017-03-22,20.07,20.23,19.65,19.959999,496300,19.959999
2017-03-21,20.68,20.74,19.809999,20.059999,330700,20.059999
2017-03-20,20.219999,20.790001,20.200001,20.700001,279100,20.700001
2017-03-17,20.49,20.559999,19.98,20.219999,401900,20.219999
2017-03-16,20.440001,20.60,20.309999,20.34,296900,20.34
2017-03-15,19.459999,20.360001,19.379999,20.25,434800,20.25
2017-03-14,19.559999,19.57,19.08,19.24,395100,19.24
2017-03-13,19.709999,19.860001,19.469999,19.799999,368100,19.799999
2017-03-10,19.77,19.790001,19.42,19.50,306500,19.50
2017-03-09,19.49,19.57,19.10,19.17,325300,19.17
2017-03-08,19.389999,19.610001,19.25,19.299999,563700,19.299999
2017-03-07,20.120001,20.16,19.620001,19.879999,648400,19.879999
2017-03-06,20.68,20.690001,20.02,20.309999,624200,20.309999
2017-03-03,20.540001,20.709999,20.09,20.49,496900,20.49
2017-03-02,20.91,21.139999,20.370001,20.59,782200,20.59
2017-03-01,20.83,21.35,20.59,21.16,705300,21.16
2017-02-28,20.68,20.83,20.35,20.610001,696100,20.610001
2017-02-27,20.75,20.809999,20.450001,20.629999,304900,20.629999
2017-02-24,21.049999,21.360001,20.610001,20.68,408900,20.68
2017-02-23,22.440001,22.50,21.299999,21.49,621200,21.49
2017-02-22,22.049999,22.48,21.959999,22.190001,668300,22.190001
2017-02-21,21.84,22.07,21.65,22.059999,638200,22.059999
2017-02-17,21.42,21.52,21.209999,21.40,253300,21.40
2017-02-16,21.799999,22.40,21.450001,21.49,369600,21.49
2017-02-15,21.65,21.67,21.18,21.440001,711900,21.440001
2017-02-14,21.799999,22.07,21.49,22.00,314500,22.00
2017-02-13,21.799999,21.969999,21.52,21.73,513900,21.73
2017-02-10,21.860001,22.10,21.65,21.74,514900,21.74
2017-02-09,21.610001,21.780001,21.23,21.48,449500,21.48
2017-02-08,21.33,21.719999,21.139999,21.610001,536700,21.610001
2017-02-07,20.780001,21.00,20.58,20.889999,608700,20.889999
2017-02-06,20.35,20.73,19.969999,20.139999,461700,20.139999
2017-02-03,19.90,19.959999,19.68,19.860001,1420300,19.860001
2017-02-02,20.75,20.860001,20.549999,20.639999,295400,20.639999
2017-02-01,20.969999,20.969999,20.370001,20.629999,466800,20.629999
2017-01-31,20.84,20.85,20.450001,20.690001,443800,20.690001
2017-01-30,21.459999,21.540001,20.969999,21.07,353500,21.07
2017-01-27,21.52,21.92,21.379999,21.82,435500,21.82
2017-01-26,21.41,21.639999,21.23,21.540001,619000,21.540001
2017-01-25,21.870001,22.200001,21.799999,22.049999,410000,22.049999
2017-01-24,22.219999,22.280001,21.67,21.84,673900,21.84
2017-01-23,22.08,22.48,22.059999,22.440001,257900,22.440001
2017-01-20,21.76,22.059999,21.73,22.02,317100,22.02
2017-01-19,21.92,21.969999,21.459999,21.66,420000,21.66
2017-01-18,21.870001,22.00,21.790001,21.799999,711700,21.799999
2017-01-17,21.790001,22.059999,21.610001,21.93,513400,21.93
2017-01-13,22.60,22.60,22.00,22.059999,547800,22.059999
2017-01-12,23.110001,23.15,22.790001,22.84,279200,22.84
2017-01-11,22.309999,22.870001,22.25,22.82,357400,22.82
2017-01-10,22.48,22.690001,22.07,22.25,327100,22.25
2017-01-09,21.809999,22.200001,21.73,21.91,307500,21.91
2017-01-06,22.059999,22.16,21.629999,21.77,369200,21.77
2017-01-05,22.309999,22.809999,22.25,22.280001,353300,22.280001
2017-01-04,22.35,22.389999,21.75,21.98,522600,21.98
2017-01-03,21.559999,22.09,21.559999,22.07,651400,22.07
2016-12-30,21.129999,21.43,21.00,21.209999,282700,21.209999
2016-12-29,20.700001,21.26,20.700001,21.10,459300,21.10
2016-12-28,20.42,20.940001,20.40,20.91,308600,20.91
2016-12-27,20.26,20.50,20.07,20.34,563200,20.34
2016-12-23,19.49,20.360001,19.40,20.34,462400,20.34
2016-12-22,20.24,20.32,19.93,20.280001,335300,20.280001
2016-12-21,20.440001,20.549999,20.10,20.530001,544300,20.530001
2016-12-20,19.91,19.98,19.639999,19.74,384900,19.74
2016-12-19,19.77,19.91,19.450001,19.90,737400,19.90
2016-12-16,19.809999,19.98,19.57,19.77,471500,19.77
2016-12-15,19.98,20.02,19.60,19.940001,645600,19.940001
2016-12-14,19.73,19.969999,19.549999,19.60,732700,19.60
2016-12-13,19.66,19.91,19.52,19.83,426900,19.83
2016-12-12,19.120001,19.75,19.120001,19.549999,540900,19.549999
2016-12-09,18.91,19.48,18.879999,19.120001,849300,19.120001
2016-12-08,19.27,19.639999,19.040001,19.58,497300,19.58
2016-12-07,19.389999,19.51,19.24,19.48,546800,19.48
2016-12-06,18.99,19.52,18.969999,19.280001,509300,19.280001
2016-12-05,18.60,19.200001,18.58,18.83,1036200,18.83
2016-12-02,16.879999,17.940001,16.790001,17.67,1926700,17.67
2016-12-01,15.67,15.83,15.26,15.61,1017500,15.61
2016-11-30,16.60,16.73,16.190001,16.309999,499900,16.309999
2016-11-29,16.23,16.610001,16.16,16.32,293400,16.32
2016-11-28,15.71,16.41,15.63,16.280001,592300,16.280001
2016-11-25,15.66,15.74,15.33,15.34,477100,15.34
2016-11-23,15.83,16.129999,15.64,15.91,1052000,15.91
2016-11-22,17.110001,17.200001,16.50,16.76,521800,16.76
2016-11-21,15.91,16.59,15.88,16.559999,434900,16.559999
2016-11-18,15.94,16.209999,15.73,15.79,552300,15.79
2016-11-17,16.01,16.40,15.95,16.059999,239900,16.059999
2016-11-16,15.96,16.370001,15.79,16.09,796200,16.09
2016-11-15,16.360001,16.790001,16.360001,16.690001,378300,16.690001
2016-11-14,15.90,16.27,15.33,16.25,625300,16.25
2016-11-11,16.940001,16.99,16.23,16.68,969400,16.68
2016-11-10,16.549999,16.950001,16.389999,16.91,802900,16.91
2016-11-09,16.82,17.379999,16.74,16.99,509400,16.99
2016-11-08,17.370001,17.75,17.280001,17.48,367100,17.48
2016-11-07,16.75,17.15,16.629999,17.139999,334600,17.139999
2016-11-04,16.129999,16.60,16.01,16.24,606800,16.24
2016-11-03,17.049999,17.24,16.469999,16.50,668500,16.50
2016-11-02,17.60,17.719999,17.280001,17.41,230700,17.41
2016-11-01,17.870001,18.18,17.52,17.700001,501300,17.700001
2016-10-31,17.65,17.84,17.52,17.75,486800,17.75
2016-10-28,17.43,17.58,17.040001,17.23,427300,17.23
2016-10-27,17.700001,17.799999,17.469999,17.49,360900,17.49
2016-10-26,17.450001,17.74,17.18,17.469999,586000,17.469999
2016-10-25,18.25,18.35,17.969999,18.02,574300,18.02
2016-10-24,18.27,18.40,18.01,18.26,519000,18.26
2016-10-21,17.77,18.030001,17.610001,17.969999,473300,17.969999
2016-10-20,17.620001,18.10,17.469999,17.940001,497000,17.940001
2016-10-19,17.48,17.84,17.200001,17.530001,668600,17.530001
2016-10-18,17.440001,17.450001,17.09,17.35,413800,17.35
2016-10-17,16.92,17.41,16.92,17.27,756700,17.27
2016-10-14,16.879999,17.299999,16.879999,16.950001,864800,16.950001
2016-10-13,16.389999,16.690001,16.049999,16.49,406200,16.49
2016-10-12,16.440001,16.65,16.32,16.530001,494800,16.530001
2016-10-11,15.58,16.42,15.57,16.35,1067900,16.35
2016-10-10,15.33,15.58,15.32,15.57,488000,15.57
2016-10-07,15.30,15.30,14.93,15.17,192500,15.17
2016-10-06,15.01,15.24,14.88,15.14,560700,15.14
2016-10-05,15.50,15.93,15.49,15.70,422100,14.926
2016-10-04,15.83,15.86,15.09,15.24,570400,14.488678
2016-10-03,15.76,16.15,15.50,16.02,500100,15.230225
2016-09-30,15.21,15.67,15.16,15.38,356900,14.621776
2016-09-29,16.110001,16.25,15.61,15.74,731600,14.964028
2016-09-28,15.17,15.77,15.17,15.70,700500,14.926
2016-09-27,14.07,14.27,13.85,14.22,179100,13.518963
2016-09-26,14.12,14.19,13.93,14.03,309900,13.33833
2016-09-23,14.02,14.26,14.02,14.16,258400,13.461921
2016-09-22,14.43,14.53,13.94,13.99,277300,13.300302
2016-09-21,14.03,14.38,14.02,14.25,448200,13.547484
2016-09-20,14.39,14.42,13.98,13.98,360200,13.290795
2016-09-19,14.35,14.49,14.15,14.19,195700,13.490442
2016-09-16,13.85,14.20,13.75,14.15,241400,13.452414
2016-09-15,13.77,14.03,13.63,14.01,200100,13.319316
2016-09-14,13.70,13.82,13.63,13.69,258100,13.015091
2016-09-13,14.17,14.29,13.53,13.81,327000,13.129176
2016-09-12,14.04,14.59,14.02,14.51,281900,13.794667
2016-09-09,14.50,14.50,14.08,14.16,543400,13.461921
2016-09-08,15.06,15.15,14.81,14.85,395400,14.117905
2016-09-07,15.04,15.06,14.88,15.06,259500,14.317552
2016-09-06,15.18,15.20,14.72,15.01,605100,14.270017
2016-09-02,15.25,15.31,14.92,15.08,754500,14.336566
2016-09-01,14.92,15.13,14.71,15.09,965800,14.346073
2016-08-31,14.77,14.88,14.64,14.82,896000,14.089383
2016-08-30,13.81,14.48,13.79,14.25,614100,13.547484
2016-08-29,13.17,13.77,13.16,13.62,436800,12.948543
2016-08-26,13.40,13.68,13.12,13.19,468900,12.539741
2016-08-25,13.85,13.92,13.41,13.47,317800,12.805938
2016-08-24,13.77,13.96,13.35,13.80,393500,13.119669
2016-08-23,13.69,14.24,13.65,13.87,675000,13.186218
2016-08-22,13.59,13.63,13.24,13.42,424300,12.758403
2016-08-19,13.25,13.76,13.06,13.65,393800,12.977063
2016-08-18,13.40,13.40,13.08,13.32,405800,12.663332
2016-08-17,13.43,13.60,13.30,13.50,545000,12.834459
2016-08-16,13.83,13.86,13.36,13.49,480400,12.824951
2016-08-15,13.42,13.92,13.42,13.83,441100,13.14819
2016-08-12,13.12,13.17,12.61,12.85,443000,12.216504
2016-08-11,13.16,13.45,13.04,13.43,352800,12.76791
