Date,Open,High,Low,Close,Volume,Adj Close
2017-04-24,206.020004,210.889999,206.020004,209.100006,31400,209.100006
2017-04-21,209.300003,209.559998,203.419998,204.899994,34200,204.899994
2017-04-20,208.820007,210.25,207.50,209.820007,37300,209.820007
2017-04-19,208.509995,209.339996,207.169998,208.229996,18700,208.229996
2017-04-18,207.399994,209.919998,205.009995,207.389999,27800,207.389999
2017-04-17,203.289993,207.559998,203.00,207.449997,19600,207.449997
2017-04-13,201.770004,204.779999,201.630005,202.179993,23800,202.179993
2017-04-12,203.770004,204.009995,200.910004,202.509995,19600,202.509995
2017-04-11,204.589996,204.589996,202.729996,203.910004,23000,203.910004
2017-04-10,199.460007,205.699997,199.460007,204.339996,35300,204.339996
2017-04-07,198.460007,200.360001,198.419998,199.210007,51800,199.210007
2017-04-06,199.800003,199.800003,198.100006,198.669998,25100,198.669998
2017-04-05,202.449997,202.449997,199.649994,199.669998,32600,199.669998
2017-04-04,199.320007,202.649994,199.320007,202.020004,40300,202.020004
2017-04-03,206.100006,206.100006,199.080002,199.309998,48000,199.309998
2017-03-31,203.559998,207.399994,203.339996,206.020004,53900,206.020004
2017-03-30,202.940002,204.25,201.00,203.75,38000,203.75
2017-03-29,201.600006,202.899994,200.320007,202.259995,39700,202.259995
2017-03-28,199.210007,202.429993,198.050003,202.00,48600,202.00
2017-03-27,196.199997,200.75,196.00,199.380005,45000,199.380005
2017-03-24,198.789993,198.899994,197.139999,197.279999,32900,197.279999
2017-03-23,195.050003,200.580002,195.050003,198.520004,71800,198.520004
2017-03-22,193.690002,196.699997,193.690002,195.830002,64500,195.830002
2017-03-21,195.619995,198.00,194.50,195.00,84000,195.00
2017-03-20,194.270004,195.699997,192.639999,195.229996,44900,195.229996
2017-03-17,192.080002,195.740005,192.080002,194.029999,120600,194.029999
2017-03-16,188.759995,193.779999,188.759995,192.380005,104700,192.380005
2017-03-15,185.619995,191.600006,183.190002,189.039993,929500,189.039993
2017-03-14,179.490005,188.389999,178.50,186.50,255800,186.50
2017-03-13,170.929993,173.320007,170.929993,171.220001,23900,171.220001
2017-03-10,174.229996,176.850006,171.320007,171.740005,21900,171.740005
2017-03-09,172.100006,179.570007,172.00,173.00,40700,173.00
2017-03-08,174.559998,175.990005,172.190002,174.350006,28300,174.350006
2017-03-07,172.979996,175.960007,172.979996,174.550003,16000,174.550003
2017-03-06,173.800003,175.149994,173.160004,173.410004,19000,173.410004
2017-03-03,173.990005,174.820007,172.270004,174.289993,18900,174.289993
2017-03-02,174.429993,174.75,173.070007,174.020004,15200,174.020004
2017-03-01,172.600006,175.789993,172.600006,174.509995,32600,174.509995
2017-02-28,176.690002,176.690002,171.50,172.070007,29100,172.070007
2017-02-27,177.740005,178.279999,175.020004,176.399994,30700,176.399994
2017-02-24,179.800003,180.070007,176.440002,177.320007,16700,177.320007
2017-02-23,180.919998,181.229996,177.330002,180.839996,18700,180.839996
2017-02-22,180.729996,181.149994,178.830002,180.570007,19300,180.570007
2017-02-21,177.850006,181.270004,177.850006,181.089996,32800,181.089996
2017-02-17,175.529999,177.600006,175.529999,177.059998,19600,177.059998
2017-02-16,174.100006,175.119995,174.100006,175.089996,10800,175.089996
2017-02-15,174.399994,175.050003,174.070007,174.440002,18300,174.440002
2017-02-14,176.399994,176.410004,174.199997,174.279999,13900,174.279999
2017-02-13,176.50,176.919998,174.320007,176.50,22200,176.50
2017-02-10,177.300003,177.429993,174.830002,177.00,10000,177.00
2017-02-09,173.889999,178.479996,172.860001,176.399994,31000,176.399994
2017-02-08,183.979996,183.979996,171.759995,172.990005,18500,172.990005
2017-02-07,171.410004,173.479996,170.779999,172.339996,26000,172.339996
2017-02-06,170.949997,171.990005,170.630005,171.289993,15300,171.289993
2017-02-03,169.50,171.570007,169.50,171.160004,18000,171.160004
2017-02-02,168.800003,169.800003,168.679993,169.320007,14600,169.320007
2017-02-01,169.789993,169.820007,167.539993,168.220001,27400,168.220001
2017-01-31,164.089996,169.330002,162.309998,168.839996,26100,168.839996
2017-01-30,165.100006,165.369995,162.979996,164.50,16700,164.50
2017-01-27,166.259995,166.960007,165.279999,165.910004,14400,165.910004
2017-01-26,168.529999,168.979996,165.889999,166.490005,20900,166.490005
2017-01-25,169.600006,170.270004,168.800003,169.350006,32100,169.350006
2017-01-24,167.300003,170.00,167.300003,169.600006,23600,169.350002
2017-01-23,166.270004,169.130005,166.210007,167.690002,16600,167.442814
2017-01-20,166.699997,168.059998,166.009995,166.639999,14900,166.394358
2017-01-19,167.169998,167.990005,166.279999,166.410004,14000,166.164702
2017-01-18,167.039993,168.25,165.600006,168.00,18100,167.752354
2017-01-17,169.160004,169.990005,166.050003,166.710007,23200,166.464262
2017-01-13,168.699997,170.139999,167.800003,170.100006,24600,169.849265
2017-01-12,170.520004,170.520004,168.369995,169.300003,17000,169.050441
2017-01-11,171.00,171.080002,169.770004,170.919998,20900,170.668048
2017-01-10,172.389999,173.009995,170.149994,171.729996,27000,171.476852
2017-01-09,177.00,177.00,172.300003,173.169998,33000,172.914731
2017-01-06,178.880005,179.600006,176.009995,177.210007,21700,176.948785
2017-01-05,180.009995,181.00,178.009995,179.300003,20800,179.0357
2017-01-04,179.889999,181.00,176.070007,179.960007,17500,179.694731
2017-01-03,178.720001,180.740005,174.600006,179.699997,31500,179.435104
2016-12-30,178.270004,179.899994,177.199997,178.850006,30400,178.586366
2016-12-29,177.800003,180.699997,177.800003,179.050003,25700,178.786069
2016-12-28,179.229996,180.059998,177.630005,178.699997,24000,178.436578
2016-12-27,178.309998,182.259995,178.009995,179.080002,47300,178.816023
2016-12-23,174.00,178.050003,174.00,177.559998,18600,177.298259
2016-12-22,176.270004,176.270004,172.660004,174.669998,25500,174.41252
2016-12-21,178.119995,179.410004,176.059998,177.210007,33800,176.948785
2016-12-20,173.009995,179.350006,173.009995,178.520004,43700,178.256851
2016-12-19,174.479996,175.570007,173.520004,173.600006,27200,173.344105
2016-12-16,172.869995,174.740005,171.169998,174.059998,42800,173.803419
2016-12-15,167.979996,172.410004,167.100006,171.660004,33500,171.406963
2016-12-14,166.779999,168.429993,165.520004,167.720001,39500,167.472768
2016-12-13,167.199997,168.240005,166.009995,167.160004,32900,166.913596
2016-12-12,166.970001,167.380005,165.220001,167.330002,29600,167.083344
2016-12-09,162.479996,167.539993,161.589996,167.149994,67900,166.903601
2016-12-08,161.779999,162.850006,160.399994,161.910004,30900,161.671335
2016-12-07,159.580002,162.059998,159.580002,162.029999,51100,161.791153
2016-12-06,160.479996,161.350006,159.270004,159.720001,23600,159.484561
2016-12-05,157.779999,160.75,157.779999,160.020004,28000,159.784122
2016-12-02,159.139999,162.320007,157.210007,157.619995,19400,157.38765
2016-12-01,161.529999,165.899994,157.860001,159.009995,32700,158.775601
2016-11-30,165.809998,166.460007,161.389999,161.779999,39200,161.541522
2016-11-29,166.860001,167.300003,163.300003,165.059998,56300,164.816686
2016-11-28,166.119995,167.440002,165.270004,166.149994,31200,165.905075
2016-11-25,165.020004,166.869995,163.639999,165.860001,13800,165.615509
2016-11-23,165.470001,168.550003,164.050003,164.729996,27400,164.48717
2016-11-22,165.139999,168.940002,164.589996,165.020004,75000,164.776751
2016-11-21,164.839996,165.759995,164.529999,164.899994,23900,164.656918
2016-11-18,164.369995,166.119995,164.25,165.440002,29600,165.19613
2016-11-17,164.639999,165.050003,162.970001,164.970001,27100,164.726822
2016-11-16,164.960007,165.869995,164.210007,165.320007,27500,165.076312
2016-11-15,165.220001,166.330002,162.869995,164.600006,44400,164.357372
2016-11-14,167.50,168.100006,162.690002,164.979996,67600,164.736802
2016-11-11,158.199997,169.580002,158.199997,167.479996,83600,167.233116
2016-11-10,155.839996,160.869995,153.940002,160.490005,69000,160.25343
2016-11-09,128.00,157.970001,125.00,157.809998,254100,157.577373
2016-11-08,139.100006,143.529999,139.100006,141.270004,34300,141.061761
2016-11-07,140.559998,141.490005,139.770004,140.369995,57500,140.163078
2016-11-04,141.740005,142.50,140.089996,140.559998,35500,140.352801
2016-11-03,142.009995,142.199997,141.00,141.380005,34300,141.171599
2016-11-02,140.940002,143.110001,140.139999,142.720001,43900,142.50962
2016-11-01,141.910004,142.919998,140.639999,141.410004,35600,141.201554
2016-10-31,145.089996,145.089996,141.25,141.300003,62500,141.091715
2016-10-28,141.520004,145.419998,141.520004,145.089996,86800,144.876122
2016-10-27,144.839996,145.039993,140.710007,141.559998,103900,141.351326
2016-10-26,145.789993,146.979996,144.080002,144.470001,46800,144.257041
2016-10-25,144.940002,145.910004,144.279999,145.339996,27200,144.876122
2016-10-24,144.550003,144.630005,143.179993,144.559998,25900,144.098613
2016-10-21,143.240005,143.339996,141.740005,143.160004,29300,142.703087
2016-10-20,143.279999,144.789993,142.649994,142.889999,35700,142.433945
2016-10-19,141.889999,144.429993,141.110001,143.979996,43800,143.520462
2016-10-18,142.00,143.660004,140.00,142.399994,35600,141.945503
2016-10-17,140.100006,142.240005,140.00,141.229996,26700,140.779239
2016-10-14,142.199997,142.199997,139.960007,140.350006,31600,139.902058
2016-10-13,142.070007,142.820007,140.889999,141.869995,56300,141.417196
2016-10-12,139.389999,142.789993,137.220001,141.789993,92500,141.337449
2016-10-11,141.759995,142.800003,138.600006,140.300003,59600,139.852215
2016-10-10,141.350006,143.690002,140.740005,141.580002,85900,141.128128
2016-10-07,142.460007,143.300003,140.789993,141.470001,99500,141.018479
2016-10-06,141.529999,143.410004,140.509995,142.50,94200,142.04519
2016-10-05,144.289993,144.639999,140.070007,141.440002,284000,140.988575
2016-10-04,145.600006,146.399994,142.529999,143.490005,59700,143.032036
2016-10-03,147.520004,147.589996,144.330002,145.119995,72700,144.656823
2016-09-30,143.199997,149.259995,142.690002,148.160004,115900,147.687129
2016-09-29,146.649994,147.00,143.339996,143.410004,40300,142.952289
2016-09-28,147.880005,149.539993,145.039993,146.130005,58800,145.663609
2016-09-27,144.00,148.369995,144.00,148.190002,86800,147.717032
2016-09-26,148.179993,148.179993,144.300003,144.50,60200,144.038807
2016-09-23,151.009995,151.009995,148.460007,148.520004,35200,148.04598
2016-09-22,145.910004,151.600006,145.910004,150.529999,92400,150.04956
2016-09-21,146.00,147.300003,145.110001,145.949997,56900,145.484176
2016-09-20,145.589996,146.699997,144.660004,145.729996,66700,145.264877
2016-09-19,143.50,146.00,143.50,144.639999,42600,144.178359
2016-09-16,146.520004,146.520004,143.029999,143.850006,74700,143.390887
2016-09-15,146.169998,146.910004,145.630005,146.399994,37700,145.932736
2016-09-14,147.75,148.889999,146.119995,146.179993,30600,145.713437
2016-09-13,149.00,150.020004,146.470001,147.149994,60000,146.680343
2016-09-12,149.350006,151.229996,148.759995,149.800003,132000,149.321894
2016-09-09,150.880005,151.899994,149.080002,149.210007,101400,148.733781
2016-09-08,153.880005,155.289993,151.380005,151.630005,89000,151.146055
2016-09-07,153.940002,156.860001,152.960007,154.619995,107400,154.126502
2016-09-06,154.589996,154.809998,152.179993,153.720001,40900,153.229381
2016-09-02,152.699997,154.289993,151.869995,153.830002,83300,153.33903
2016-09-01,149.899994,152.649994,149.899994,152.649994,52100,152.162789
2016-08-31,151.089996,151.089996,149.839996,150.300003,52200,149.820298
2016-08-30,150.619995,151.699997,149.550003,150.520004,53300,150.039597
2016-08-29,150.470001,152.740005,150.00,150.259995,53500,149.780417
2016-08-26,152.240005,153.679993,149.960007,151.339996,64800,150.856972
2016-08-25,151.00,153.770004,151.00,152.559998,48400,152.073079
2016-08-24,153.360001,153.970001,151.029999,151.710007,42100,151.225801
2016-08-23,149.720001,154.789993,149.589996,153.020004,76600,152.531618
