Date,Open,High,Low,Close,Volume,Adj Close
2017-04-05,10.50,10.50,10.50,10.50,10000,10.50
2017-04-04,10.50,10.50,10.48,10.50,15600,10.50
2017-04-03,10.60,10.60,10.60,10.60,000,10.60
2017-03-31,10.44,10.60,10.44,10.60,400,10.60
2017-03-30,10.684,10.684,10.684,10.684,000,10.684
2017-03-29,10.684,10.684,10.684,10.684,1000,10.684
2017-03-28,10.703,10.703,10.703,10.703,000,10.703
2017-03-27,10.703,10.703,10.703,10.703,000,10.703
2017-03-24,10.74,10.75,10.703,10.703,1000,10.703
2017-03-23,10.80,10.80,10.80,10.80,000,10.80
2017-03-22,10.80,10.80,10.80,10.80,100,10.80
2017-03-21,11.00,11.00,11.00,11.00,000,11.00
2017-03-20,11.00,11.00,11.00,11.00,000,11.00
2017-03-17,11.00,11.00,11.00,11.00,000,11.00
2017-03-16,11.00,11.00,10.80,11.00,3600,11.00
2017-03-15,10.60,10.60,10.60,10.60,000,10.60
2017-03-14,10.40,10.60,10.40,10.60,43400,10.60
2017-03-13,10.60,10.60,10.60,10.60,000,10.60
2017-03-10,10.36,10.60,10.323,10.60,4000,10.60
2017-03-09,10.40,10.60,10.35,10.60,54200,10.60
2017-03-08,10.45,10.45,10.45,10.45,000,10.45
2017-03-07,10.45,10.45,10.45,10.45,000,10.45
2017-03-06,10.45,10.45,10.40,10.45,3700,10.45
2017-03-03,10.59,10.59,10.59,10.59,000,10.59
2017-03-02,10.59,10.59,10.59,10.59,000,10.59
2017-03-01,10.59,10.59,10.59,10.59,000,10.59
2017-02-28,10.59,10.59,10.59,10.59,400,10.59
2017-02-27,10.59,10.59,10.59,10.59,100,10.59
2017-02-24,10.85,10.85,10.85,10.85,000,10.85
2017-02-23,10.59,10.85,10.55,10.85,3400,10.85
2017-02-22,10.632,10.632,10.632,10.632,000,10.632
2017-02-21,10.761,11.00,10.55,10.632,5100,10.632
2017-02-17,10.50,10.90,10.50,10.54,55100,10.54
2017-02-16,10.798,10.80,10.41,10.495,3700,10.495
2017-02-15,10.75,10.75,10.60,10.644,2700,10.644
2017-02-14,10.475,10.53,10.475,10.53,1900,10.53
2017-02-13,10.38,10.383,10.38,10.38,3000,10.38
2017-02-10,10.484,10.51,10.473,10.50,6600,10.50
2017-02-09,10.50,10.50,10.50,10.50,000,10.50
2017-02-08,10.481,10.50,10.481,10.50,300,10.50
2017-02-07,10.50,10.50,10.50,10.50,1100,10.50
2017-02-06,10.50,10.50,10.50,10.50,000,10.50
2017-02-03,10.38,10.539,10.38,10.50,1500,10.50
2017-02-02,10.39,10.39,10.35,10.35,2200,10.35
2017-02-01,10.42,10.42,10.36,10.36,200,10.36
2017-01-31,10.45,10.45,10.45,10.45,000,10.45
2017-01-30,10.45,10.45,10.45,10.45,000,10.45
2017-01-27,10.45,10.45,10.45,10.45,000,10.45
2017-01-26,10.46,10.55,10.45,10.45,2000,10.45
2017-01-25,10.40,10.48,10.40,10.48,125300,10.48
2017-01-24,10.30,10.30,10.30,10.30,000,10.30
2017-01-23,10.30,10.30,10.30,10.30,000,10.30
2017-01-20,10.30,10.30,10.30,10.30,000,10.30
2017-01-19,10.30,10.30,10.30,10.30,100,10.30
2017-01-18,10.39,10.39,10.26,10.26,500,10.26
2017-01-17,10.54,10.59,10.54,10.59,1600,10.59
2017-01-13,10.50,10.50,10.50,10.50,000,10.50
2017-01-12,10.54,10.55,10.50,10.50,2400,10.50
2017-01-11,10.49,10.49,10.49,10.49,000,10.49
2017-01-10,10.49,10.49,10.49,10.49,000,10.49
2017-01-09,10.26,10.82,10.26,10.49,3700,10.49
2017-01-06,10.25,10.25,10.25,10.25,000,10.25
2017-01-05,10.25,10.25,10.25,10.25,600,10.25
2017-01-04,10.23,10.23,10.23,10.23,000,10.23
2017-01-03,10.23,10.23,10.23,10.23,000,10.23
2016-12-30,10.30,10.589,10.20,10.23,7300,10.23
2016-12-29,10.20,10.20,10.20,10.20,000,10.20
2016-12-28,10.20,10.20,10.20,10.20,000,10.20
2016-12-27,10.20,10.20,10.20,10.20,000,10.20
2016-12-23,10.20,10.20,10.20,10.20,100,10.20
2016-12-22,10.20,10.30,10.20,10.28,1500,10.28
2016-12-21,10.49,10.49,10.49,10.49,000,10.49
2016-12-20,10.49,10.49,10.49,10.49,000,10.49
2016-12-19,10.51,10.51,10.49,10.49,1600,10.49
2016-12-16,10.67,10.67,10.67,10.67,000,10.67
2016-12-15,10.67,10.67,10.67,10.67,300,10.67
2016-12-14,10.746,10.746,10.746,10.746,000,10.746
2016-12-13,10.746,10.746,10.746,10.746,100,10.746
2016-12-12,10.35,10.60,10.35,10.538,2200,10.538
