Date,Open,High,Low,Close,Volume,Adj Close
2017-04-05,7.77,7.96,7.64,7.67,537300,7.67
2017-04-04,7.68,7.88,7.61,7.81,394900,7.81
2017-04-03,7.92,8.03,7.82,7.92,369400,7.92
2017-03-31,7.55,7.75,7.55,7.65,254400,7.65
2017-03-30,7.80,7.82,7.66,7.76,303500,7.76
2017-03-29,7.86,7.94,7.73,7.78,771800,7.78
2017-03-28,7.94,8.26,7.82,8.11,1047300,8.11
2017-03-27,7.25,7.54,7.23,7.42,392300,7.42
2017-03-24,7.54,7.69,7.50,7.62,306700,7.62
2017-03-23,7.27,7.51,7.25,7.50,543900,7.50
2017-03-22,7.40,7.59,7.32,7.58,420500,7.58
2017-03-21,8.00,8.03,7.48,7.60,540400,7.60
2017-03-20,8.05,8.22,7.96,8.15,363500,8.15
2017-03-17,8.11,8.30,8.10,8.17,628300,8.17
2017-03-16,7.75,8.05,7.66,7.97,600900,7.97
2017-03-15,7.51,7.86,7.46,7.74,824200,7.74
2017-03-14,7.12,7.24,6.96,7.02,590900,7.02
2017-03-13,6.85,6.92,6.81,6.82,247600,6.82
2017-03-10,6.72,6.80,6.68,6.79,160600,6.79
2017-03-09,6.67,6.67,6.47,6.54,139000,6.54
2017-03-08,6.85,6.89,6.62,6.68,235700,6.68
2017-03-07,6.91,7.01,6.84,6.85,180600,6.85
2017-03-06,6.96,6.99,6.84,6.87,278000,6.87
2017-03-03,6.90,7.15,6.85,7.03,509900,7.03
2017-03-02,6.84,7.28,6.75,7.09,614600,7.09
2017-03-01,6.84,7.09,6.80,6.92,485100,6.92
2017-02-28,6.49,6.84,6.49,6.83,487300,6.83
2017-02-27,6.18,6.36,6.10,6.32,326900,6.32
2017-02-24,6.50,6.53,6.32,6.38,209600,6.38
2017-02-23,6.63,6.69,6.44,6.65,465300,6.65
2017-02-22,6.36,6.49,6.29,6.38,275900,6.38
2017-02-21,6.50,6.53,6.32,6.49,504100,6.49
2017-02-17,5.82,5.91,5.77,5.87,181500,5.87
2017-02-16,5.99,5.99,5.75,5.81,406500,5.81
2017-02-15,5.83,5.92,5.76,5.77,570600,5.77
2017-02-14,5.68,6.41,5.59,6.02,1763500,6.02
2017-02-13,5.81,5.83,5.66,5.69,182700,5.69
2017-02-10,5.78,5.89,5.72,5.75,327100,5.75
2017-02-09,5.62,5.65,5.51,5.54,167400,5.54
2017-02-08,5.38,5.42,5.32,5.41,93100,5.41
2017-02-07,5.48,5.57,5.45,5.52,90500,5.52
2017-02-06,5.44,5.51,5.38,5.47,109400,5.47
2017-02-03,5.46,5.54,5.41,5.52,147100,5.52
2017-02-02,5.47,5.56,5.43,5.54,279600,5.54
2017-02-01,5.58,5.70,5.54,5.65,134000,5.65
2017-01-31,5.41,5.47,5.28,5.46,182000,5.46
2017-01-30,5.55,5.56,5.42,5.55,122800,5.55
2017-01-27,5.66,5.69,5.48,5.51,245700,5.51
2017-01-26,5.79,5.90,5.70,5.89,400300,5.89
2017-01-25,5.93,6.15,5.86,6.01,400800,6.01
2017-01-24,5.80,5.89,5.72,5.84,456600,5.84
2017-01-23,5.62,6.09,5.59,5.95,753500,5.95
2017-01-20,5.24,5.62,5.24,5.48,666800,5.48
2017-01-19,5.06,5.21,5.04,5.20,249700,5.20
2017-01-18,4.96,5.22,4.94,5.08,240000,5.08
2017-01-17,4.91,5.00,4.87,4.89,104400,4.89
2017-01-13,4.97,5.21,4.97,5.01,117400,5.01
2017-01-12,4.94,5.04,4.90,5.02,78700,5.02
2017-01-11,4.76,4.91,4.71,4.86,109100,4.86
2017-01-10,5.01,5.01,4.85,4.87,85200,4.87
2017-01-09,4.91,5.08,4.82,5.06,82000,5.06
2017-01-06,5.09,5.18,5.04,5.16,159600,5.16
2017-01-05,4.94,5.34,4.94,5.23,331400,5.23
2017-01-04,4.80,4.86,4.74,4.82,107900,4.82
2017-01-03,4.70,4.77,4.65,4.77,69100,4.77
2016-12-30,4.74,4.82,4.68,4.71,96400,4.71
2016-12-29,4.72,4.80,4.69,4.74,66300,4.74
2016-12-28,4.74,4.74,4.58,4.58,62500,4.58
2016-12-27,4.60,4.80,4.60,4.78,86500,4.78
2016-12-23,4.48,4.55,4.48,4.54,93800,4.54
2016-12-22,4.31,4.37,4.24,4.27,123500,4.27
2016-12-21,4.24,4.30,4.15,4.21,145800,4.21
2016-12-20,4.14,4.14,4.04,4.07,133200,4.07
2016-12-19,4.22,4.22,4.06,4.14,126800,4.14
2016-12-16,4.23,4.28,4.18,4.19,156800,4.19
2016-12-15,4.03,4.16,4.03,4.07,80800,4.07
2016-12-14,4.07,4.09,3.95,3.96,95400,3.96
2016-12-13,4.21,4.30,4.13,4.25,247000,4.25
2016-12-12,4.26,4.35,4.20,4.31,179300,4.31
2016-12-09,4.16,4.27,4.15,4.26,126500,4.26
2016-12-08,4.22,4.24,4.15,4.21,82300,4.21
2016-12-07,4.41,4.43,4.36,4.37,117700,4.37
2016-12-06,4.40,4.45,4.38,4.45,145500,4.45
2016-12-05,4.30,4.35,4.27,4.30,154500,4.30
2016-12-02,4.22,4.32,4.18,4.26,161100,4.26
