Date,Open,High,Low,Close,Volume,Adj Close
2017-04-24,30.00,30.040001,29.950001,30.030001,1200,30.030001
2017-04-21,29.59,29.690001,29.59,29.68,4900,29.68
2017-04-20,29.49,29.49,29.49,29.49,000,29.49
2017-04-19,29.58,29.58,29.49,29.49,2300,29.49
2017-04-18,29.35,29.35,29.35,29.35,200,29.35
2017-04-17,29.440001,29.440001,29.360001,29.360001,1000,29.360001
2017-04-13,29.370001,29.370001,29.299999,29.299999,1000,29.299999
2017-04-12,29.709999,29.709999,29.709999,29.709999,000,29.709999
2017-04-11,29.51,29.709999,29.51,29.709999,3800,29.709999
2017-04-10,29.85,29.85,29.68,29.68,200,29.68
2017-04-07,29.610001,29.610001,29.610001,29.610001,000,29.610001
2017-04-06,29.60,29.620001,29.540001,29.610001,3200,29.610001
2017-04-05,29.860001,29.940001,29.860001,29.940001,900,29.940001
2017-04-04,29.77,29.77,29.77,29.77,500,29.77
2017-04-03,29.74,29.74,29.74,29.74,600,29.74
2017-03-31,29.98,29.98,29.98,29.98,100,29.98
2017-03-30,29.950001,29.950001,29.950001,29.950001,000,29.950001
2017-03-29,29.950001,29.950001,29.950001,29.950001,300,29.950001
2017-03-28,29.809999,29.809999,29.809999,29.809999,000,29.809999
2017-03-27,29.809999,29.809999,29.809999,29.809999,000,29.809999
2017-03-24,29.809999,29.809999,29.809999,29.809999,000,29.809999
2017-03-23,29.809999,29.809999,29.809999,29.809999,400,29.809999
2017-03-22,29.629999,29.629999,29.59,29.60,3800,29.60
2017-03-21,29.809999,29.84,29.719999,29.83,5800,29.83
2017-03-20,30.33,30.33,30.33,30.33,000,30.33
2017-03-17,30.26,30.33,30.26,30.33,1500,30.33
2017-03-16,30.25,30.25,30.25,30.25,000,30.25
2017-03-15,30.25,30.25,30.25,30.25,200,30.25
2017-03-14,30.10,30.16,30.10,30.129999,500,30.129999
2017-03-13,30.129999,30.129999,30.129999,30.129999,500,30.129999
2017-03-10,30.17,30.17,30.17,30.17,000,30.17
2017-03-09,30.17,30.17,30.17,30.17,000,30.17
2017-03-08,30.17,30.17,30.17,30.17,100,30.17
2017-03-07,30.16,30.200001,30.10,30.15,1200,30.15
2017-03-06,30.25,30.25,30.25,30.25,100,30.25
2017-03-03,30.25,30.34,30.25,30.27,900,30.27
2017-03-02,30.57,30.57,30.559999,30.559999,400,30.559999
2017-03-01,30.65,30.719999,30.639999,30.65,2700,30.65
2017-02-28,30.34,30.34,30.129999,30.209999,1900,30.209999
2017-02-27,30.42,30.43,30.35,30.41,1700,30.41
2017-02-24,30.40,30.40,30.40,30.40,000,30.40
