Date,Open,High,Low,Close,Volume,Adj Close
2017-04-06,18.09,18.280001,17.629999,18.25,89800,18.25
2017-04-05,17.50,18.389999,17.370001,18.07,160900,18.07
2017-04-04,17.469999,17.549999,17.10,17.27,139900,17.27
2017-04-03,17.110001,17.917999,17.110001,17.469999,130400,17.469999
2017-03-31,17.129999,17.32,16.889999,17.07,93200,17.07
2017-03-30,17.00,17.24,16.93,17.15,89200,17.15
2017-03-29,17.190001,17.40,16.92,17.030001,242100,17.030001
2017-03-28,17.049999,17.190001,16.91,17.09,34000,17.09
2017-03-27,17.280001,17.309999,17.030001,17.049999,79100,17.049999
2017-03-24,17.280001,17.540001,17.09,17.34,65100,17.34
2017-03-23,17.309999,17.559999,17.00,17.309999,74500,17.309999
2017-03-22,16.860001,17.280001,16.635,17.25,203600,17.25
2017-03-21,17.34,17.48,16.68,17.00,204200,17.00
2017-03-20,18.00,18.15,17.190001,17.299999,225400,17.299999
2017-03-17,17.059999,18.52,17.059999,18.02,268700,18.02
2017-03-16,17.27,17.49,16.85,17.16,360300,17.16
2017-03-15,16.58,17.379999,16.049999,17.25,163600,17.25
2017-03-14,16.110001,16.809999,15.885,16.49,352900,16.49
2017-03-13,15.53,16.389999,15.40,16.17,140600,16.17
2017-03-10,14.90,15.80,14.64,15.52,108900,15.52
2017-03-09,14.56,14.96,14.53,14.92,116900,14.92
2017-03-08,14.70,15.286,14.30,14.53,541300,14.53
2017-03-07,15.32,15.36,14.33,14.44,238400,14.44
2017-03-06,16.440001,16.440001,15.08,15.28,110100,15.28
2017-03-03,16.51,16.60,16.26,16.49,41200,16.49
2017-03-02,16.40,16.780001,16.299999,16.440001,69400,16.440001
2017-03-01,16.57,16.809999,16.360001,16.52,81100,16.52
2017-02-28,17.08,17.08,16.280001,16.50,79200,16.50
2017-02-27,16.98,17.18,16.58,17.139999,103900,17.139999
2017-02-24,17.030001,17.27,16.66,17.00,91800,17.00
2017-02-23,19.23,20.207001,16.700001,17.049999,420500,17.049999
2017-02-22,17.23,18.18,17.200001,18.01,111600,18.01
2017-02-21,17.040001,17.389999,16.709999,17.32,61700,17.32
2017-02-17,17.35,17.35,16.76,17.059999,199500,17.059999
2017-02-16,17.440001,17.440001,17.065001,17.299999,174500,17.299999
2017-02-15,16.299999,17.719999,16.00,17.379999,368600,17.379999
2017-02-14,17.75,18.209999,16.200001,16.799999,182500,16.799999
2017-02-13,18.68,18.75,17.75,17.780001,85200,17.780001
2017-02-10,18.91,19.120001,18.35,18.440001,19800,18.440001
2017-02-09,18.65,18.940001,18.42,18.809999,83600,18.809999
2017-02-08,18.950001,20.67,18.620001,18.67,80900,18.67
2017-02-07,19.469999,19.59,18.889999,18.959999,85900,18.959999
2017-02-06,20.299999,20.299999,19.42,19.50,45100,19.50
2017-02-03,19.98,20.33,19.58,20.280001,43400,20.280001
2017-02-02,19.40,20.00,19.299999,19.889999,45700,19.889999
2017-02-01,19.440001,19.610001,19.299999,19.40,72600,19.40
2017-01-31,19.120001,19.465,18.860001,19.280001,42600,19.280001
2017-01-30,19.49,19.49,18.879999,19.200001,47900,19.200001
2017-01-27,19.200001,19.75,18.870001,19.450001,180000,19.450001
2017-01-26,19.790001,19.790001,18.834999,19.17,78000,19.17
2017-01-25,20.08,20.311001,19.459999,19.700001,114800,19.700001
2017-01-24,20.01,20.34,19.98,20.059999,68700,20.059999
2017-01-23,20.389999,20.48,19.98,20.040001,60100,20.040001
2017-01-20,20.02,20.325001,20.02,20.10,34300,20.10
2017-01-19,19.99,20.32,19.950001,20.02,99100,20.02
2017-01-18,19.82,20.48,19.440001,20.07,88000,20.07
2017-01-17,19.18,19.91,19.15,19.77,151300,19.77
2017-01-13,19.15,19.42,19.120001,19.17,47500,19.17
2017-01-12,19.549999,19.639999,19.08,19.139999,127700,19.139999
2017-01-11,19.60,19.700001,19.33,19.549999,219300,19.549999
2017-01-10,20.200001,20.24,19.43,19.620001,212400,19.620001
2017-01-09,20.200001,20.469999,19.82,20.32,143800,20.32
2017-01-06,20.82,20.959999,20.07,20.209999,224200,20.209999
2017-01-05,21.969999,22.030001,20.209999,20.85,263700,20.85
2017-01-04,21.91,22.209999,21.50,21.85,185900,21.85
2017-01-03,24.15,24.15,21.32,22.059999,345300,22.059999
2016-12-30,24.40,24.799999,24.288,24.530001,14500,24.530001
2016-12-29,24.950001,25.370001,24.01,24.290001,42400,24.290001
2016-12-28,25.309999,25.690001,24.879999,24.879999,50900,24.879999
2016-12-27,25.52,25.700001,25.275,25.50,72400,25.50
2016-12-23,25.440001,25.719999,24.969999,25.700001,24800,25.700001
2016-12-22,25.60,25.75,24.389999,25.57,108500,25.57
2016-12-21,25.212,26.18,23.841,25.809999,127900,25.809999
2016-12-20,25.73,26.049999,24.889999,25.07,86300,25.07
2016-12-19,25.15,26.110001,24.469999,25.870001,138900,25.870001
2016-12-16,23.950001,26.33,23.950001,25.030001,869300,25.030001
2016-12-15,22.780001,24.200001,22.780001,24.200001,195300,24.200001
2016-12-14,23.83,23.84,22.27,22.780001,60000,22.780001
2016-12-13,24.08,24.219999,23.440001,23.799999,51100,23.799999
2016-12-12,23.85,24.35,23.85,24.049999,55800,24.049999
2016-12-09,23.694,24.375,23.68,23.91,74000,23.91
2016-12-08,23.360001,23.98,23.120001,23.790001,30700,23.790001
2016-12-07,23.386,23.65,23.25,23.25,24800,23.25
2016-12-06,23.690001,24.00,23.440001,23.48,104700,23.48
2016-12-05,23.65,23.879999,23.035999,23.610001,84300,23.610001
2016-12-02,23.950001,23.99,23.50,23.629999,63800,23.629999
2016-12-01,23.139999,24.00,23.040001,23.83,237200,23.83
2016-11-30,22.91,23.379999,22.60,23.25,135700,23.25
2016-11-29,22.92,23.209999,22.67,23.00,106100,23.00
2016-11-28,23.00,23.00,22.50,22.860001,47300,22.860001
2016-11-25,23.02,23.10,22.73,23.00,14600,23.00
2016-11-23,22.99,23.219999,22.07,23.10,78600,23.10
2016-11-22,22.34,23.360001,22.08,23.16,146500,23.16
2016-11-21,21.67,22.639999,21.50,22.530001,89600,22.530001
2016-11-18,21.049999,22.219999,20.575001,21.75,247900,21.75
2016-11-17,20.450001,21.75,20.309999,21.23,140300,21.23
2016-11-16,20.025999,20.83,20.00,20.790001,656300,20.790001
2016-11-15,19.700001,20.110001,19.65,19.969999,124200,19.969999
2016-11-14,20.32,20.32,19.370001,19.60,92600,19.60
2016-11-11,19.690001,20.50,19.620001,20.16,63300,20.16
2016-11-10,20.200001,20.450001,19.77,19.91,251100,19.91
2016-11-09,19.790001,20.41,19.790001,20.15,105500,20.15
2016-11-08,20.200001,20.52,20.190001,20.190001,157100,20.190001
2016-11-07,21.00,21.00,19.83,20.129999,185300,20.129999
2016-11-04,21.049999,21.49,20.940001,20.940001,101900,20.940001
2016-11-03,21.40,21.58,21.190001,21.35,42500,21.35
2016-11-02,21.68,21.805,21.292,21.549999,23500,21.549999
2016-11-01,21.120001,22.08,21.120001,21.60,149900,21.60
2016-10-31,22.00,22.68,21.139999,21.23,240400,21.23
2016-10-28,22.35,23.02,21.85,22.00,119200,22.00
2016-10-27,22.32,23.08,22.219999,22.52,220500,22.52
2016-10-26,22.139999,23.559999,21.82,22.43,229200,22.43
2016-10-25,23.799999,23.799999,21.684999,21.969999,121300,21.969999
2016-10-24,24.200001,24.51,23.620001,23.799999,113200,23.799999
2016-10-21,23.450001,24.200001,23.434999,24.049999,196800,24.049999
2016-10-20,23.129999,23.559999,23.129999,23.43,91000,23.43
2016-10-19,22.90,23.459999,22.799999,23.200001,207400,23.200001
2016-10-18,22.629999,23.280001,22.530001,23.01,52100,23.01
2016-10-17,22.700001,22.74,22.450001,22.629999,29900,22.629999
